"","day","batch","staining","cell","ID","length","fname","neurite","filament","parent","cellline","species"
"26","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",8.51214198307589,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",13,1,11,"SandraA","Chimpanzee/Bonobo"
"27","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",9.81915716956086,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",9,3,8,"SandraA","Chimpanzee/Bonobo"
"28","d14","Batch2","stain20180125","Bagheera","Bagheera_I.ims",9.82724352317234,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_I.ims.len",10,1,5,"SandraA","Chimpanzee/Bonobo"
"29","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",10.4933419573594,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",37,2,35,"SandraA","Chimpanzee/Bonobo"
"30","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",11.7203265403222,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",34,2,33,"SandraA","Chimpanzee/Bonobo"
"31","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",110.199756408224,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",36,2,35,"SandraA","Chimpanzee/Bonobo"
"32","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",110.252241934416,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",2,2,1,"SandraA","Chimpanzee/Bonobo"
"33","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",115.875687943113,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",33,2,31,"SandraA","Chimpanzee/Bonobo"
"34","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",117.08823914357,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",1,2,0,"SandraA","Chimpanzee/Bonobo"
"35","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",12.064376444253,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",11,2,9,"SandraA","Chimpanzee/Bonobo"
"36","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",12.1845357831953,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",22,2,19,"SandraA","Chimpanzee/Bonobo"
"37","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",12.2464766557998,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",40,2,38,"SandraA","Chimpanzee/Bonobo"
"38","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",12.6761746481805,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",6,1,4,"SandraA","Chimpanzee/Bonobo"
"39","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",135.695013308362,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",7,2,5,"SandraA","Chimpanzee/Bonobo"
"40","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",14.7068285053837,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",20,2,18,"SandraA","Chimpanzee/Bonobo"
"41","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",14.9394093068624,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",4,1,0,"SandraA","Chimpanzee/Bonobo"
"42","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",16.4512130804158,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",23,2,21,"SandraA","Chimpanzee/Bonobo"
"43","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",16.874212593678,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",10,1,8,"SandraA","Chimpanzee/Bonobo"
"44","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",17.9574543624359,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",27,2,25,"SandraA","Chimpanzee/Bonobo"
"45","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",18.9046657532605,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",8,2,7,"SandraA","Chimpanzee/Bonobo"
"46","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",19.5610344335923,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",14,2,13,"SandraA","Chimpanzee/Bonobo"
"47","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",2.74367420114662,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",35,2,33,"SandraA","Chimpanzee/Bonobo"
"48","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",221.178955615933,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",39,2,38,"SandraA","Chimpanzee/Bonobo"
"49","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",24.8456904031295,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",5,1,4,"SandraA","Chimpanzee/Bonobo"
"50","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",242.684107913755,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",38,2,28,"SandraA","Chimpanzee/Bonobo"
"51","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",27.5348067494525,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",12,2,8,"SandraA","Chimpanzee/Bonobo"
"52","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",282.129987382293,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",3,2,1,"SandraA","Chimpanzee/Bonobo"
"53","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",29.1578005968788,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",7,1,6,"SandraA","Chimpanzee/Bonobo"
"54","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",3.60228915427893,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",3,1,1,"SandraA","Chimpanzee/Bonobo"
"55","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",3.9127379085764,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",9,2,7,"SandraA","Chimpanzee/Bonobo"
"56","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",3.99080303197514,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",1,1,0,"SandraA","Chimpanzee/Bonobo"
"57","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",32.1757119354677,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",32,2,31,"SandraA","Chimpanzee/Bonobo"
